iter	RMSE	R2
0	510.2879909	-3.806782512
1	465.1001903	-2.993160912
2	424.9611842	-2.333667676
3	389.4382871	-1.799632778
4	358.0178125	-1.366099732
5	330.3254042	-1.014223818
6	305.8250749	-0.7265134205
7	284.3497222	-0.4925517345
8	265.7733328	-0.3039068955
9	249.7401806	-0.1513321177
10	235.9188219	-0.02742223111
11	223.9694342	0.07402069053
12	213.7582069	0.1565305204
13	205.1885223	0.2228051672
14	197.9080893	0.2769790714
15	191.7792431	0.3210669075
16	186.6427394	0.3569481719
17	182.3582696	0.3861324141
18	178.7014662	0.4105051595
19	175.7223038	0.4299964589
20	173.1886855	0.4463149354
21	171.0849483	0.4596845545
22	169.3352639	0.4706796452
23	167.9155566	0.4795180851
24	166.72882	0.4868490584
25	165.7615997	0.4927855289
26	164.9352566	0.4978299842
27	164.2451494	0.5020234613
28	163.7303481	0.5051402318
29	163.2881854	0.5078094142
30	162.9399241	0.5099066649
31	162.6118286	0.51187838
32	162.3610723	0.5133826394
33	162.1126723	0.514870475
34	161.9021454	0.5161296793
35	161.7345403	0.5171309898
36	161.5788353	0.518060277
37	161.4688193	0.5187163415
38	161.3688986	0.5193118159
39	161.2850358	0.5198113102
40	161.2127047	0.5202419115
41	161.1300192	0.5207339182
42	161.0769927	0.5210493109
43	161.0123539	0.5214336313
44	160.9467022	0.5218238159
45	160.8811546	0.5222132238
46	160.8489373	0.5224045629
47	160.8115069	0.5226268154
48	160.7842514	0.5227886185
49	160.748983	0.5229979505
50	160.7041669	0.523263886
51	160.6759758	0.5234311314
52	160.6569991	0.5235436957
53	160.6199908	0.523763179
54	160.5924674	0.5239263783
55	160.570074	0.5240591388
56	160.5526778	0.5241622605
57	160.5403824	0.5242351385
58	160.5168003	0.5243749006
