iter	Passed	Remaining
0	59	119121
1	109	109693
2	162	107896
3	221	110606
4	276	110124
5	335	111395
6	388	110750
7	446	111226
8	505	111833
9	568	113184
10	696	125888
11	756	125367
12	808	123566
13	867	123108
14	923	122195
15	979	121435
16	1034	120637
17	1086	119674
18	1142	119170
19	1198	118679
20	1256	118426
21	1308	117637
22	1360	116947
23	1417	116745
24	1473	116410
25	1528	116016
26	1588	116058
27	1640	115568
28	1733	117825
29	1821	119598
30	1869	118735
31	1921	118186
32	1977	117865
33	2026	117154
34	2082	116929
35	2136	116583
36	2194	116419
37	2251	116259
38	2311	116202
39	2370	116132
40	2423	115809
41	2480	115633
42	2532	115275
43	2585	114936
44	2637	114581
45	2698	114621
46	2747	114175
47	2801	113944
48	2920	116288
49	2974	116003
50	3021	115465
51	3069	114982
52	3116	114476
53	3168	114174
54	3220	113901
55	3273	113620
56	3327	113419
57	3378	113121
58	3431	112874
59	3487	112769
60	3540	112530
61	3589	112208
62	3636	111811
63	3694	111748
64	3751	111665
65	3803	111460
66	3859	111356
67	3995	113510
68	4048	113304
69	4109	113302
70	4171	113347
71	4222	113057
72	4283	113079
73	4348	113170
74	4408	113156
75	4465	113035
76	4520	112897
77	4576	112763
78	4632	112643
79	4690	112578
80	4746	112454
81	4800	112288
82	4859	112230
83	4918	112191
84	4969	111970
85	5100	113520
86	5160	113462
87	5233	113720
88	5287	113530
89	5342	113381
90	5399	113265
91	5447	112968
92	5506	112916
93	5559	112734
94	5614	112583
95	5673	112524
96	5728	112386
97	5777	112131
98	5829	111932
99	5883	111780
100	5934	111578
101	5987	111407
102	6041	111261
103	6097	111154
104	6308	113861
105	6365	113744
106	6415	113506
107	6471	113375
108	6532	113324
109	6584	113135
110	6636	112946
111	6694	112842
112	6750	112726
113	6808	112634
114	6860	112458
115	6912	112264
116	6967	112140
117	7023	112021
118	7082	111943
119	7142	111905
120	7195	111733
121	7245	111530
122	7312	111585
123	7449	112705
124	7509	112635
125	7565	112521
126	7617	112345
127	7675	112257
128	7737	112226
129	7800	112202
130	7854	112058
131	7913	111987
132	7972	111912
133	8034	111886
134	8088	111736
135	8149	111702
136	8201	111524
137	8257	111409
138	8315	111327
139	8377	111294
140	8433	111188
141	8563	112048
142	8618	111917
143	8672	111779
144	8727	111645
145	8783	111532
146	8836	111387
147	8891	111261
148	8944	111119
149	8998	110978
150	9056	110898
151	9113	110805
152	9170	110704
153	9229	110639
154	9285	110530
155	9339	110399
156	9385	110179
157	9435	110001
158	9513	110158
159	9652	111009
160	9712	110938
161	9768	110828
162	9822	110695
163	9884	110656
164	9938	110528
165	9991	110385
166	10050	110314
167	10097	110112
168	10162	110108
169	10222	110040
170	10285	110010
171	10340	109898
172	10402	109854
173	10457	109739
174	10515	109663
175	10565	109493
176	10626	109449
177	10762	110164
178	10816	110041
179	10870	109917
180	10928	109829
181	10988	109767
182	11047	109685
183	11105	109603
184	11160	109491
185	11214	109372
186	11272	109284
187	11331	109214
188	11387	109111
189	11446	109046
190	11509	109007
191	11565	108907
192	11629	108880
193	11688	108812
194	11745	108717
195	11864	109199
196	11937	109258
197	12016	109360
198	12067	109209
199	12128	109159
200	12181	109024
201	12237	108923
202	12292	108811
203	12343	108667
204	12403	108605
205	12462	108531
206	12522	108466
207	12577	108362
208	12635	108276
209	12695	108214
210	12753	108134
211	12796	107921
212	12851	107817
213	13028	108736
214	13123	108955
215	13179	108856
216	13233	108732
217	13294	108671
218	13355	108610
219	13411	108509
220	13474	108469
221	13535	108404
222	13595	108337
223	13654	108264
224	13712	108179
225	13772	108104
226	13830	108023
227	13887	107935
228	13939	107800
229	13987	107646
230	14047	107577
231	14182	108081
232	14239	107987
233	14299	107915
234	14358	107845
235	14418	107771
236	14476	107689
237	14529	107563
238	14587	107480
239	14642	107381
240	14696	107267
241	14748	107138
242	14799	107004
243	14852	106887
244	14906	106777
245	14965	106704
246	15012	106547
247	15066	106437
248	15116	106298
249	15174	106224
250	15311	106695
251	15368	106605
252	15429	106542
253	15492	106498
254	15545	106381
255	15596	106248
256	15644	106102
257	15699	106004
258	15756	105914
259	15816	105852
260	15870	105739
261	15924	105638
262	15978	105527
263	16032	105423
264	16086	105320
265	16136	105192
266	16193	105103
267	16246	104998
268	16307	104938
269	16443	105357
270	16500	105276
271	16561	105212
272	16615	105112
273	16671	105016
274	16719	104875
275	16783	104837
276	16839	104743
277	16889	104616
278	16953	104578
279	17005	104460
280	17061	104374
281	17126	104335
282	17179	104232
283	17240	104171
284	17296	104081
285	17356	104018
286	17413	103937
287	17548	104317
288	17603	104218
289	17654	104097
290	17714	104035
291	17770	103947
292	17822	103834
293	17883	103771
294	17930	103631
295	17989	103558
296	18043	103463
297	18101	103383
298	18153	103276
299	18208	103183
300	18263	103089
301	18317	102988
302	18377	102924
303	18439	102874
304	18492	102770
305	18550	102695
306	18761	103464
307	18820	103392
308	18877	103306
309	18934	103225
310	18985	103109
311	19044	103032
312	19097	102933
313	19150	102827
314	19205	102732
315	19265	102665
316	19349	102731
317	19414	102689
318	19467	102585
319	19521	102489
320	19579	102411
321	19631	102304
322	19682	102188
323	19737	102100
324	19851	102313
325	19933	102359
326	19985	102251
327	20043	102172
328	20104	102109
329	20159	102018
330	20216	101935
331	20281	101896
332	20337	101811
333	20396	101738
334	20456	101673
335	20518	101614
336	20569	101505
337	20630	101442
338	20685	101351
339	20744	101280
340	20806	101223
341	20869	101173
342	20967	101294
343	21067	101416
344	21153	101473
345	21206	101372
346	21265	101301
347	21317	101198
348	21380	101142
349	21437	101061
350	21495	100984
351	21557	100927
352	21612	100836
353	21670	100761
354	21722	100655
355	21774	100553
356	21829	100464
357	21889	100395
358	21941	100296
359	21989	100172
360	22084	100266
361	22177	100350
362	22237	100285
363	22292	100195
364	22342	100083
365	22400	100008
366	22452	99906
367	22508	99821
368	22563	99732
369	22611	99612
370	22665	99520
371	22719	99429
372	22777	99352
373	22829	99255
374	22890	99190
375	22945	99103
376	23006	99043
377	23060	98950
378	23113	98856
379	23168	98772
380	23306	99035
381	23364	98962
382	23453	99018
383	23516	98963
384	23572	98883
385	23633	98819
386	23689	98736
387	23748	98666
388	23801	98570
389	23854	98475
390	23911	98396
391	23968	98318
392	24030	98261
393	24085	98176
394	24150	98130
395	24212	98074
396	24269	97996
397	24490	98577
398	24546	98494
399	24605	98423
400	24663	98347
401	24719	98261
402	24772	98168
403	24818	98046
404	24865	97925
405	24929	97874
406	24993	97823
407	25049	97741
408	25113	97690
409	25166	97598
410	25221	97509
411	25285	97460
412	25340	97375
413	25393	97280
414	25458	97232
415	25517	97162
416	25657	97399
417	25715	97325
418	25774	97253
419	25820	97134
420	25871	97032
421	25925	96944
422	25980	96860
423	26040	96792
424	26097	96713
425	26170	96694
426	26239	96663
427	26290	96563
