iter	MultiClass
0	5.537472961
1	5.474469991
2	5.428466595
3	5.385375039
4	5.350861465
5	5.319318161
6	5.292100511
7	5.26653785
8	5.244904997
9	5.225777827
10	5.206717109
11	5.190320755
12	5.17295627
13	5.157543514
14	5.144616391
15	5.131442366
16	5.120183979
17	5.109408512
18	5.098659397
19	5.089037094
20	5.078763451
21	5.07057845
22	5.062431257
23	5.054851194
24	5.048062822
25	5.040479895
26	5.033688085
27	5.028078656
28	5.021758309
29	5.017138206
30	5.010255884
31	5.004076461
32	5.00018847
33	4.995507071
34	4.990118765
35	4.985181298
36	4.981143219
37	4.976772309
38	4.973322556
39	4.968418315
40	4.965480124
41	4.961996572
42	4.957831891
43	4.953661482
44	4.950165327
45	4.947366341
46	4.944618339
47	4.940361428
48	4.936443076
49	4.932210225
50	4.929885566
51	4.925923677
52	4.922021938
53	4.919385071
54	4.916906885
55	4.914231636
56	4.91127626
57	4.908419415
58	4.905973882
59	4.904304573
60	4.901879663
61	4.899749775
62	4.897071662
63	4.895343921
64	4.893261581
65	4.892148517
66	4.890501549
67	4.889033886
68	4.886789426
69	4.885155061
70	4.883993877
71	4.882015797
72	4.880872945
73	4.878263574
74	4.876357102
75	4.874179667
76	4.872317304
77	4.870903489
78	4.869990353
79	4.868973529
80	4.868042062
81	4.867072212
82	4.86501164
83	4.863507314
84	4.861628339
85	4.859425698
86	4.857555315
87	4.856275549
88	4.854448704
89	4.853002809
90	4.85146984
91	4.849924268
92	4.849005403
93	4.848107734
94	4.846179493
95	4.84555966
96	4.844240367
97	4.843224689
98	4.842492003
99	4.841065013
