iter	Passed	Remaining
0	572	2288668
1	800	1599728
2	1178	1570589
3	1575	1573552
4	1777	1420489
5	1979	1317650
6	2195	1252336
7	2398	1196888
8	2599	1152691
9	2811	1121967
10	3011	1092083
11	3231	1073870
12	3421	1049249
13	3620	1030874
14	3820	1014969
15	4029	1003337
16	4381	1026665
17	4632	1024866
18	4868	1020182
19	5054	1005825
20	5248	994528
21	5436	983005
22	5627	973067
23	5828	965610
24	6029	958760
25	6229	952083
26	6497	956046
27	6694	949665
28	6898	944627
29	7193	951950
30	7383	945365
31	7587	940804
32	7789	936343
33	7995	932622
34	8189	927806
35	8369	921528
36	8550	915875
37	8733	910596
38	8914	905403
39	9082	899212
40	9257	893951
41	9483	893739
42	9669	889787
43	9856	886229
44	10057	883928
45	10237	879992
46	10421	876482
47	10656	877346
48	10831	873392
49	11019	870536
50	11216	868544
51	11394	865133
52	11566	861395
53	11748	858529
54	11932	855899
55	12108	852786
56	12295	850533
57	12532	851805
58	12715	849375
59	12891	846521
60	13072	844160
61	13247	841421
62	13441	839978
63	13633	838440
64	13804	835715
65	13983	833484
66	14168	831704
67	14346	829540
68	14536	828136
69	14708	825796
70	14891	824081
71	15074	822389
72	15244	820095
73	15450	819702
74	15637	818361
75	15811	816392
76	15991	814738
77	16174	813267
78	16352	811639
79	16524	809722
80	16702	808122
81	16890	807026
82	17077	805917
83	17285	805831
84	17463	804359
85	17646	803124
86	17823	801648
87	18001	800229
88	18180	798931
89	18367	797979
90	18541	796468
91	18769	797293
92	18949	796087
93	19133	795072
94	19315	793958
95	19499	792986
96	19675	791693
97	19862	790860
98	20044	789816
99	20225	788784
100	20407	787818
101	20592	786971
102	20774	785989
103	20966	785424
104	21202	786523
105	21409	786484
106	21656	787946
107	21895	789035
108	22135	790189
109	22322	789387
110	22503	788429
111	22684	787461
112	22871	786752
113	23063	786166
114	23248	785389
115	23431	784545
116	23612	783666
117	23801	783013
118	23975	781938
119	24147	780763
120	24328	779912
121	24511	779158
122	24702	778642
123	24921	778990
124	25119	778717
125	25315	778363
126	25507	777864
127	25691	777168
128	25887	776821
129	26086	776587
130	26271	775924
131	26475	775817
132	26673	775533
133	26862	775008
134	27046	774339
135	27235	773813
136	27441	773778
137	27634	773366
138	27858	773817
139	28050	773388
140	28238	772849
141	28422	772204
142	28607	771593
143	28784	770793
144	28966	770111
145	29147	769424
146	29324	768623
147	29500	767805
148	29689	767350
149	29885	767061
150	30098	767202
151	30281	766590
152	30475	766272
153	30662	765764
154	30843	765106
155	31031	764656
156	31216	764104
157	31410	763800
158	31599	763364
159	31790	762969
160	31968	762273
161	32156	761823
162	32344	761391
163	32533	760971
164	32725	760614
165	32903	759946
166	33080	759264
167	33272	758938
168	33464	758598
169	33645	758013
170	33898	759058
171	34087	758639
172	34339	759638
173	34518	759019
174	34711	758690
175	34900	758300
176	35082	757749
177	35277	757469
178	35465	757069
179	35650	756591
180	35834	756095
181	36024	755732
182	36210	755279
183	36393	754761
184	36578	754300
185	36756	753704
186	36939	753203
187	37113	752528
188	37308	752297
189	37488	751750
190	37663	751093
191	37846	750631
192	38032	750201
193	38224	749907
194	38408	749464
195	38598	749134
196	38786	748763
197	38978	748465
198	39157	747931
199	39335	747381
200	39517	746909
201	39741	747212
202	39939	747052
203	40129	746714
204	40307	746181
205	40492	745777
206	40686	745517
207	40863	744966
208	41066	744888
209	41256	744578
210	41434	744056
211	41612	743536
212	41807	743317
213	41986	742815
214	42167	742350
215	42350	741915
216	42531	741465
217	42709	740952
218	42898	740636
219	43096	740475
220	43280	740070
221	43461	739634
222	43655	739406
223	43840	739028
224	44024	738630
225	44206	738214
226	44382	737684
227	44575	737444
228	44750	736912
229	44942	736659
230	45144	736586
231	45319	736058
232	45505	735697
233	45689	735332
234	45872	734941
235	46061	734647
236	46264	734576
237	46442	734110
238	46633	733851
239	46849	733983
240	47025	733486
241	47210	733120
242	47389	732685
243	47566	732217
244	47753	731897
245	47933	731473
246	48118	731123
247	48317	730991
248	48503	730667
249	48691	730368
250	48886	730173
251	49105	730343
252	49302	730190
253	49509	730165
254	49688	729734
255	49892	729676
256	50093	729578
257	50272	729151
258	50478	729108
259	50668	728846
260	50855	728538
261	51036	728147
262	51274	728565
263	51486	728618
264	51675	728329
265	51861	728006
266	52045	727665
267	52226	727280
268	52404	726844
269	52587	726489
270	52771	726141
271	52984	726197
272	53161	725764
273	53337	725308
274	53557	725458
275	53734	725028
276	53917	724677
277	54104	724383
278	54290	724061
279	54468	723652
280	54643	723194
281	54827	722867
282	55002	722412
283	55185	722073
284	55454	722854
285	55695	723266
286	55918	723433
287	56301	725669
288	56487	725340
289	56672	725015
290	56871	724861
291	57043	724375
292	57293	724873
293	57486	724637
294	57664	724223
295	57857	723996
296	58068	724002
297	58254	723689
298	58426	723196
299	58665	723544
300	58937	724283
301	59116	723880
302	59443	725289
303	59701	725841
304	59920	725918
305	60121	725774
306	60312	725513
307	60498	725196
308	60721	725320
309	60905	724968
310	61114	724925
311	61401	725796
312	61585	725444
313	61765	725055
314	61971	724964
315	62153	724604
316	62340	724294
317	62541	724139
318	62729	723843
319	62908	723452
320	63104	723247
321	63280	722814
322	63472	722565
323	63774	723564
324	63987	723547
325	64186	723381
326	64560	725167
327	64747	724859
328	64935	724550
329	65152	724571
330	65338	724251
331	65530	723995
332	65717	723679
333	65908	723418
334	66088	723028
335	66292	722902
336	66511	722946
337	66744	723131
338	66937	722883
339	67121	722542
340	67332	722494
341	67519	722186
342	67714	721956
343	67889	721527
344	68062	721070
345	68245	720714
346	68434	720434
347	68628	720209
348	68811	719863
349	68993	719504
350	69172	719115
351	69360	718824
352	69552	718575
353	69756	718454
354	69953	718258
